"FIGI","ISIN","CUSIP","SEDOL","TICKER","COUNTRY_CD","SECURITY_DESCRIPTION","PRICE","CURRENCY_CD"
BBG0000HKS25,US25459HAQ83,"25459HAQ8",B3WNBC6,DTV/40,US,DIRECTV HLDGS LLC/DIRECTV FING INC 6.35% GTD SNR 15/03/40 USD,96.385,USD
BBG0000DFN30,US382388AU08,"382388AU0",B1FQZK4,UTX/36,US,RTX CORPORATION 6.8% SNR 01/07/2036,111.7074,USD
BBG0000JZTR6,US544152AC58,"544152AC5",B67NWN0,BTI/40,US,R.J. REYNOLDS TOBACCO COMPANY 8.125% GTD SNR 01/05/40 USD,121.13419,USD
BBG00000YN19,US74740FGL40,"74740FGL4",B1396C4,PEP/26,US,QUAKER OATS CO 7.44% SNR MTN 02/03/26 USD,102.88702,USD
BBG00004C6J3,US58933NAL38,"58933NAL3","2112635",MRK37,US,MERCK & CO INC 5.76% SNR MTN 03/05/37 USD,103.15661,USD
BBG000051WD1,US38238QAL05,"38238QAL0","2890146",UTX/27,US,GOODRICH CORP 7.1% SNR MTN 15/11/2027 USD,108.12399,USD
BBG01FKLH6L1,US65339KBP49,"65339KBP4",BQKRHH8,NEE25,US,NEXTERA ENERGY CAPITAL HLDGS INC 6.051% DEB 01/03/25,99.93,USD
BBG0000FBN39,US72447XAB38,"72447XAB3",B1HM5G6,PBI37,US,PITNEY BOWES INC 5.25% SNR MTN 15/01/37 USD,65.61458,USD
BBG0000V3NN1,US032510AC36,"032510AC3",B665LR4,APC40,US,OCCIDENTAL PETROLEUM CORP 6.2% SNR 15/03/2040,93.87117,USD
BBG0000140C8,US078167AZ61,"078167AZ6","2086989",VZ/30,US,VERIZON PENNSYLVANIA LLC 8.35% DEB 15/12/30,117.34253,USD
BBG00006DH03,US362333AJ50,"362333AJ5",B96JM96,VZ/28C,US,VERIZON FLORIDA INC 6.86% BDS 01/02/28,102.75,USD
BBG002WCRB09,US25459HBG92,"25459HBG9",B82CGN4,DTV/42,US,DIRECTV HLDGS LLC/DIRECTV FING INC 5.15% GTD SNR 15/03/42 USD,87.30181,USD
BBG000058R54,US032511AM90,"032511AM9","2638216",APC28,US,OCCIDENTAL PETROLEUM CORP 6.625% DEB 15/01/28,102.9014,USD
BBG00005C7M4,US030955AP37,"030955AP3","2206152",T/38,US,AMERITECH CAPITAL FUNDING CORP 5.95% DEB 15/01/38,97.31644,USD
BBG000036WM1,US38238QAH92,"38238QAH9",B11PFX8,UTX/25C,US,GOODRICH CORP 7.28% SNR MTN 07/11/25 USD,104.08213,USD
BBG0000399F7,US478366AF41,"478366AF4","2804987",JCI45,US,JOHNSON CONTROLS INC 6.95% DEB 01/12/2045 USD,104.51376,USD
BBG00001PKT3,US037411AL91,"037411AL9",B3Y89J2,APA96,US,APA CORPORATION 7.625% DEB 01/11/96,106.91285,USD
BBG00000X387,US026874BE68,"026874BE6",B1TSL64,AIG37,US,AMERICAN INTERNATIONAL GROUP INC 6.25%-FRN DEB 15/03/37 USD,95.25559,USD
BBG005PFLZ15,US774341AF84,"774341AF8",BH7KDQ8,RTX/43,US,COLLINS AEROSPACE 4.8% SNR 15/12/2043,91.39439,USD
BBG00005N387,US032511AN73,"032511AN7","2409252",APC29,US,OCCIDENTAL PETROLEUM CORP 7.2% DEB 15/03/2029,104.3053,USD
BBG000015VC9,US165069AQ82,"165069AQ8",B0LPZ86,VZ/31B,US,VERIZON MARYLAND INC 8.3% DEB 01/08/2031,116.33386,USD
BBG00004XXT0,US492386AK33,"492386AK3",B4RLJF1,APC/27,US,KERR-MCGEE CORP 7.125% DEB 15/10/27,105.99904,USD
BBG00000BL90,US907834AJ49,"907834AJ4","2486664",OXY/29,US,OCCIDENTAL PETROLEUM CORP 7.95% DEB 15/04/29,112.91051,USD
BBG00003PY46,US079857AC20,"079857AC2","2134327",T/26D,US,BELLSOUTH CORP 6.04% DEB 15/11/26,103.51734,USD
