BBG00830MRN9,US92849Y3053,"92849Y305",BP4D2R0,FINR,US,FINTECH SCION LTD COM,0.001,USD
BBG000DVW7Q7,US83089F1066,"83089F106",BNC4JZ8,SKWG,US,SKYWEALTH GROUP INC COM NPV,1.735,USD
BBG00Z2ZD560,US9842131081,"984213108",BP83MJ8,YCQH,US,YCQH AGRICULTURAL TECHNOLOGY CO LTDCOM,0.2886,USD
BBG000FPNNP4,US12650A1051,"12650A105",B61ZQ30,CTXV,US,CTX VIRTUAL TECHNOLOGIES INC,0,USD
BBG00QRF7KK5,US90266X1072,"90266X107",BK4XPF4,UCASU,US,UC ASSET LIMITED PARTNERSHIP COM UNIT,0.425,USD
BBG000C029H5,US24610V1035,"24610V103","2617301",VMM,US,DELAWARE INVTS MINN MUN INC FD II COM STK,13.34,USD
BBG000CNSSL0,CA19104W1041,"19104W104","2590446",CBV CN,CA,COBRA VENTURE CORP COM NPV,0.16,CAD
BBG000LPQ154,US8232142005,"823214200",B1JJWG4,SGTI,US,SHENGTAI PHARMACEUTICAL INC COM STK,0,USD
BBG000Q7LS46,CA1350382067,"135038206",BMFNF68,CE.H CN,CA,CANADA ENERGY PARTNERS INC COM NPV(POST REV SPLIT),0.005,CAD
BBG000BX3634,US3901231072,"390123107",B030VF8,GBEI,US,GREAT BASIN ENERGIES INC COM,0.0505,USD
BBG000CZ2Y56,CA86269M1068,"86269M106","2699848",SRSIF,US,STRATECO RES INC COM NPV,0,CAD
BBG000Q186G9,US20338W1009,"20338W100","2635808",CSYT,US,COMMUNICATION SYNERGY TECHNOLOGIES COM NPV,0,USD
BBG000R3MZC8,US3610421048,"361042104",BFF5QG2,FQCC,US,FUQUAN CAPITAL MANAGEMENT INC COM,0,USD
BBG01KWRDGZ1,US35907T1060,"35907T106",BRDZWG0,CLIP,US,GLOBAL X FDS COM,100.31,USD
BBG000RK5ZQ4,US71922F1021,"71922F102",B1Z9TC3,PHOS,US,PHOSPHATE HOLDINGS INC COM STK,0,USD
BBG00Q9CQMK7,US71913T1034,"71913T103",BPNXSD9,PXPC,US,PHOENIX PLUS CORP COM,2.625,USD
BBG01C79XFL2,VGG6360J1369,G6360J136,BNNMLX3,MMVWW,US,MULTIMETAVERSE HOLDINGS LIMITED C/WTS 04/01/28 (TO PUR ORD),0.03,USD
BBG000N980Y8,US8947253089,"894725308",B08KZ73,TRKX,US,TREK RESOURCES INC COM,375,USD
BBG000D9YFB2,US45252S3067,"45252S306",B16MJP4,IMKI,US,IMMEDIATEK INC COM STK,0,USD
BBG000N0SB08,US0462591076,"046259107",B1VJXT2,ATOR,US,ASTOR EXPLORATIONS CORP COM STK,0.265,USD
BBG0134XD778,US84289R1068,"84289R106",BMTWHX2,SFCO,US,SOUTHERN FINANCIAL CORPORATION COM NPV,8.35,USD
BBG00P59ZDP5,US42815H1095,"42815H109",BK6S386,HSTA,US,HESTIA INSIGHT INC COM,0.128,USD
BBG011WHDXY9,CA5274241051,"527424105",BNBVHJ0,LVT CF,CA,LEVITEE LABS INC COM NPV,0.005,CAD
BBG000C15F86,CA2550512032,"255051203",BN4DYT2,DVG CN,CA,DIVERGENT ENERGY SVCS CORP COM NPV(POST REV SPLIT),0.005,CAD
BBG000BSDRT0,US0038531085,"003853108","2655497",ASCN,US,ABSECON BANCORP COM,88.75,USD
BBG000BFLKW0,CA4559371022,"455937102",BQGGYF6,IDI.H CN,CA,INDICO RESOURCES LTD (CA) COM NPV (POST REV SPLIT),0.1,CAD
BBG000DHBQ16,US5006011093,"500601109",B02LRX2,KOGL,US,KOPP GLASS INC COM,57,USD
BBG000KCLR16,US35069H2058,"35069H205",BKPFFS2,MALG,US,MICROALLIANCE GROUP INC COM (PST REV SPLIT),0.5088,USD
BBG00WKJMDR3,US0307371007,"030737100",BMF3VT3,ATCC,US,AMERITRUST CORP COM STK,0,USD
BBG000BJSW86,US30887A1025,"30887A102","2086127",FABP,US,FARMERS BANCORP FRANKFORT INDS COM NPV,33.99,USD
BBG000LFQM32,CA9840072032,"984007203",B9XZV90,XEPRF,US,XEMPLAR ENERGY CORPORATION COM NPV,0,CAD
BBG00JYJSKB2,CA78412Y2024,"78412Y202",BMCVB89,SBD CN,CA,SBD CAPITAL CORP COM NPV (POST REV SPLIT),0.035,CAD
BBG00JPRNY74,CA90043C1032,"90043C103",BNRNLM1,TTGI CN,CA,TURNIUM TECHNOLOGY GROUP INC COM NPV CLASS A,0.05,CAD
BBG01B2HKL78,CA8555481032,"855548103",BQPDRK4,STAR CN,CA,STARMET VENTURES INC COM NPV,0.05,CAD
BBG000F85027,US8905162066,"890516206","2025164",TROLB,US,TOOTSIE ROLL INDUSTRIES INC CLS'B' COM,40,USD
BBG018G3KYH2,CA4937341077,"493734107",BMQ7912,KIB CN,CA,KIBOKO GOLD INC COM VPV,0.01,CAD
BBG000F0CT41,CA45986N1024,"45986N102",BQLQPW5,IMM CV,CA,INTERNATIONAL METALS MINING CORP COM NPV,0.02,CAD
BBG017L35BX7,CA6409801082,"640980108",BPCMT12,NTX CN,CA,NEOTERREX MINERALS INC COM NPV,0.11,CAD
BBG000BW3X64,US30207P3001,"30207P300",BQGG478,EXHI,US,EXLITES HOLDINGS INTERNATIONAL INC COM (POST REV SPLIT),0.58965,USD
BBG000BG1GY7,CA76134C1023,"76134C102",BRBR2X5,RSM CN,CA,RESOURO STRATEGIC METALS INC COM NPV,0.26,CAD
BBG000BDN752,US7602481043,"760248104",B032529,REOP,US,REO PLASTICS INC COM,32.5,USD
BBG01H3QG388,CA12598T1093,"12598T109",BPLF6M2,CNJ.P CN,CA,CNJ CAPITAL INVESTMENTS INC COM NPV,0.46,CAD
BBG01KCFQJZ9,CA5541271006,"554127100",BMXVP31,MBL CF,CA,MABEL VENTURES INC COM NPV,0.06111,USD
BBG00Z84G2K1,US49338Y1055,"49338Y105",BN75S60,VIPZ,US,VIP PLAY INC COM NPV,0.5668,CAD
BBG000M9P0Q9,US90969R1005,"90969R100",B142DF4,UBEX,US,UNITED BULLION EXCHANGE INC COM,0,USD
BBG0188Y62V3,CA88089G2027,"88089G202",BQFPRC2,TERA CF,CA,TERRA BALCANICA RESOURCES CORP COM NPV (POST REV SPLIT),0.09,CAD
BBG01J3NHBW5,US06644A2050,"06644A205",BQ96K00,BKGM,US,BANKGUAM HOLDING CO COM (POST REV SPT),950,USD
BBG000BHRCJ3,US16944L1089,"16944L108",B41G316,CPQQ,US,CHINA POWER EQUIP INC COM,0,USD
BBG000KQKV35,CA39141Y1034,"39141Y103",B04M9M6,GWMGF,US,GREAT WESTERN MINERALS GROUP LTD COM NPV,0,CAD
BBG000BC5FZ3,CA76243H1091,"76243H109",B1FR842,RYE CV,CA,RHYOLITE RES LTD COM NPV,0.085,CAD
BBG000BSBWL9,US9282422057,"928242205","2192756",VPRO,US,VIROPRO INC COM,0,USD
BBG00L01CHM5,CA13809N1050,"13809N105",BG0QK65,CSOC.A CV,CA,CANSO SELECT OPPORTUNITIES CORP SHS CL A MULTIPLE VTG SGS,2.25,CAD
BBG000BTK313,US02970Q2030,"02970Q203","2448880",AQQSQ,US,AMERICAN SPECTRUM REALTY INC COM,0,USD
BBG000C64Q28,US8022181072,"802218107",BMT9J04,SNTE,US,SANTE TECHNOLOGY HOLDINGS INC COM,0.2025,USD
BBG0168H3SH6,CA7763311007,"776331100",BPQXMX4,RVC.P CV,CA,RONIN VENTURES CORP COM NPV,0.14,CAD
BBG000QCJXJ1,CA71648X1069,"71648X106",B68V9M1,PFC CN,CA,PETROFRONTIER CORPORATION COM NPV,0.045,CAD
BBG000FF9L03,CA68111J1012,"68111J101",BQXJJR5,OVL.H CN,CA,OLIVIER VENTURES INC COM NPV,0.005,CAD
BBG000JK9XW7,US6046901079,"604690107","2676380",MRVT,US,MIRAVANT MEDICAL TECHNOLOGY COM,0,USD
BBG000CR7KF8,US92237T1088,"92237T108","2687995",VTON,US,VAST SOLUTIONS INC COM 'CLS B1',0,USD
BBG000CR9122,US92237T3068,"92237T306","2688329",VTTH,US,VAST SOLUTIONS INC COM 'CLS B3',0,USD
BBG0016Q0QL2,CA09370U1066,"09370U106",BMZ0K86,MATE CV,CA,BLOCKMATE VENTURES INC COM NPV,0.035,CAD
BBG000BWRKR3,US5985782011,"598578201",BF1C3T9,MIFF,US,MIFFLINBURG BANCORP INC COM,23.5,USD
BBG018WYYV41,CA9284621005,"928462100",BPQWD61,VBAM CF,CA,VITAL BATTERY METALS INC COM NPV,0.17,CAD
BBG000BG7RH6,US8037201014,"803720101",B0X7DD1,SRSR,US,SARISSA RESOURCES INC COM STK,0,USD
BBG00PVD78N1,US1926071093,"192607109",BMG92S6,CJAX,US,COJAX OIL & GAS CORP COM,2.15,USD
BBG000QQ9VX9,US68749U2050,"68749U205",B05GSP3,ORSX,US,ORSUS XELENT TECHNOLOGIES INC COM STK,0,USD
BBG013TJC8P1,CA94103P1036,"94103P103",BNNDSW4,WOGC CN,CA,WASKAHIGAN OIL & GAS CORP COM NPV,0.06,CAD
BBG000CDRZK8,CA5772791029,"577279102",B03XWW1,MAOMF,US,MAUDORE MINERALS LTD COM NPV,0.00014,CAD
BBG000BZ7S46,CA4583541079,"458354107",BDRJR43,IRO CN,CA,INTER-ROCK MINERALS INC(CA) COM NPV,0.95,CAD
BBG000HXSZJ0,VGG7982P1045,G7982P104,B3CTNM8,DJSP,US,DJSP ENTERPRISES INC COM,0,USD
BBG000CV14Y0,US8967871083,"896787108","2253170",TRUA,US,TRIUMPH APPAREL COMPANY COM,0,USD
BBG00VLG2580,CA9839891046,"983989104",BS70NM1,XCYT CV,CA,XCYTE DIGITAL CORP COM NPV,0.135,CAD
BBG01699GMP3,KYG0703K1085,G0703K108,BMFFN37,AXAC,US,AXIOS SUSTAINABLE GROWTH ACQ CORP COM CLASS A,10.43,USD
BBG01DCC84S3,KYG4619M1179,G4619M117,BP9N0Q0,HSPOW,US,HORIZON SPACE ACQUISITION I CORP C/WTS 27/12/29 (TO PUR ORD),0.0171,USD
BBG000DYTQW6,US75865X2027,"75865X202",B0T0CQ0,RFCS,US,REFOCUS GROUP INC COM STK,0,USD
BBG000BDR213,US86269D1063,"86269D106",B018972,STQN,US,STRATEGIC ACQUISITIONS INC NEVADA COM,0.445,USD
BBG000Q0YH05,KYG712181042,G71218104,B67LGG5,PLTYF,US,PLASTEC TECHNOLOGIES LTD COM,0.51005,USD
BBG000CB30W2,US1301991022,"130199102",B02W382,CAEN,US,CALIFORNIA ENGELS MNG CO COM NPV,12.865,USD
BBG000JWHD47,US80534P2002,"80534P200",B3F3P54,SNVP,US,SAVOY ENERGY CORPORATION COM STK,0,USD
BBG000QZ9T46,US92340Q1085,"92340Q108",B5MZDM0,VCLD,US,VERECLOUD INC COM,0,USD
BBG000RCL4F5,US51805Q1022,"51805Q102",B030WH7,LNGT,US,LASER ENERGETICS INC CLASS A,0,USD
BBG000C2XV51,US87122P1049,"87122P104",B17KS16,SYVN,US,SYCAMORE VENTURES INC COM STK,0,USD
BBG000BB4KY6,US92660P3001,"92660P300",B00V7L2,VIFI,US,VIE FINANCIAL GROUP INC COM,0,USD
BBG000DPCK83,US6981051039,"698105103",B4JYSW8,WDKA,US,PANACHE BEVERAGE INC COM,0,USD
BBG0116ZFLK7,CA62857B1094,"62857B109",BLH01F1,MYND CF,CA,MYND LIFE SCIENCES INC COM NPV,0.04,CAD
BBG000D05D73,CA6949271044,"694927104",B3BJJS7,PWCRF,US,PACIFIC WILDCAT RESOURCES CORP COM NPV,0,CAD
BBG000BFKTK5,US2223631035,"222363103",B019975,CWID,US,COUNTRY WIDE INSURANCE CO COM,1,USD
BBG000J5MCP9,US80918Q1058,"80918Q105",B162QS6,SRPX,US,SCORPEX INC COM STK,0,USD
BBG000G1SZ47,US00244W3034,"00244W303",B0LDGJ8,AWGL,US,AWG LIMITED COM STK,0,USD
BBG000PVGSP7,US78026P2092,"78026P209",B8MJDZ6,ROYE,US,ROYAL ENERGY RESOURCES INC COM,0,USD
BBG000BCR448,US3932241009,"393224100",B4ZS2D3,GPLB,US,GREEN PLANET BIOENGINEERING CO LTD,0.555,USD
BBG001ZC0J37,US45825L1017,"45825L101",B9W6HV8,IRIG,US,INTEGRATED DRILLING EQUIP HLDGS CORCOM,0,USD
BBG000BRXZJ3,US48242V1089,"48242V108",B03TFZ3,KCMH,US,KCM HOLDINGS CORPORATION COM STK,0,USD
BBG000D79P59,US4540841040,"454084104",B06V9J8,IXOG,US,INDEX OIL & GAS INC COM,0,USD
BBG000FZXVD6,US66979N1072,"66979N107",B7VXKL7,NHLI,US,NOUVEAU HLDGS LTD COM,0,USD
BBG000K9K5T2,US29247W1018,"29247W101",B1F7659,EIPC,US,ENABLE IPC CORP. COM STK NPV,0,USD
BBG000BHG3K3,US8426261033,"842626103",B032FT6,SCBS,US,SOUTHERN COMMUNITY BANCSHARES INC COM,18.5,USD
BBG000BXPG47,US20084U2096,"20084U209","2375870",CPLT,US,COMMERCEPLANET INC COM,0,USD
BBG00QXRJCG2,CA87043J2039,"87043J203",BQPG662,SPS CF,CA,SWEET POISON SPIRITS INC COM NPV (POST REV SPLIT),0.05,CAD
BBG000K6R272,US8836723051,"883672305","2137393",TOOD,US,THERMWOOD CORP COM NPV,29,USD
BBG000BHL390,US0172301030,"017230103","2685289",AWRY,US,ALLEGHENY & WESTERN RAILWAY COMPANYCOM,84.5,USD
BBG000N8D1G2,US98878T2087,"98878T208",B3KJ331,ZSTN,US,ZST DIGITAL NETWORKS INC COM,0,USD
BBG000BPVDV4,US8288151009,"828815100","2244301",SWWI,US,SIMON WORLDWIDE INC COM,0,USD
BBG000FM5DT9,US37943L1052,"37943L105","2108612",GMDP,US,GLOBAL MEDICAL PRODUCTS HLDGS INC COM,0,USD
BBG000BSCTK6,US4364341044,"436434104","2205029",HOOB,US,HOLOBEAM INC COM,33,USD
BBG000C0MHW8,CA92838G1090,"92838G109",BM9HHK4,VIZ CV,CA,VISIONARY METALS CORP COM NPV,0.04,CAD
BBG000F1G495,CA3025862010,"302586201",B3XJKT3,FP CN,CA,FP NEWSPAPERS INC COM NPV,0.47,CAD
BBG000BQBYK0,US8137181033,"813718103","2468800",SSVC,US,SECURED SERVICES INC COM,0,USD
BBG000K9N788,US49835F1049,"49835F104",B61HH77,KIWB,US,KIWIBOX COM INC COM,0,USD
BBG001PPQ9L3,CA2382111060,"238211106",B5363Q6,DAT.H CV,CA,DATUM VENTURES INC COM NPV,0.04,CAD
BBG000BFBP32,US3390591077,"339059107",B019BS0,FLEW,US,FLEETWOOD BANK CORP PA COM,60,USD
BBG000C0GCT0,US9276252023,"927625202","2019101",VOQP,US,VIOQUEST PHARMACEUTICALS INC COM STK,0,USD
BBG000TXK002,CA73933D1006,"73933D100",B6TKD25,PREXF,US,POWER RESOURCE EXPLORATION INC COM NPV,0,CAD
BBG000L9GPM9,US94769H4039,"94769H403",B069G80,WKYN,US,WEBSKY INC COM,0,USD
BBG000BZ5129,US1693781064,"169378106","2849814",CHFI,US,CHINA FINANCE INC COM,0,USD
BBG000HM9672,CA4702731031,"470273103",B3CCK37,JBR CF,CA,JAMES BAY RESOURCES LIMITED COM NPV,0.02,CAD
BBG000C0D0Q2,US6951131001,"695113100","2570415",PHLI,US,PACIFICHEALTH LABORATORIES INC COM,0,USD
BBG000BPZHB3,US74739E1029,"74739E102",BLCHHF9,QIAN,US,QIANSUI INTL GROUP CO LTD COM,0,USD
BBG000C4S3W5,CA39928H1091,"39928H109",BD381K8,GVR CV,CA,GROSVENOR RESOURCE CORPORATION COM NPV,0.035,CAD
BBG000L9H2D9,US0772641090,"077264109","2384296",BKMM,US,BEKEM METALS INC COM,0,USD
BBG000R7LM57,US81730Y1029,"81730Y102",B1W7X28,SPLM,US,SENTRY PETROLEUM LTD COM STK,0.0001,USD
BBG000CM6NQ2,US4082161096,"408216109","2731278",HMLN,US,HAMLIN BANK & TRUST CO (PA) COM NPV,187.69,USD
BBG002F0CR05,CA3952781043,"395278104",BN0WTJ8,GRHK CN,CA,GREENHAWK RES INC COM NPV,0.05,CAD
BBG01G1S82D3,CA6291701010,"629170101",BMW5JP4,NLII.P CN,CA,NL2 CAP INC COM NPV,0.075,CAD
BBG000BBCVY3,US7696481065,"769648106","2749486",RIVT,US,RIVIERA TOOL CO COM NPV,0,USD
BBG01BBMLZ02,US45674V1017,"45674V101",BQXS756,INFT,US,INFINITY BANCORP COM NPV,9.62,USD
BBG000PT5C06,CA65389P1080,"65389P108",B83Z267,NNX CN,CA,NICKEL NORTH EXPLORATION CORP COM NPV,0.02,CAD
BBG000BZ2578,US8551211092,"855121109",B032444,SFIGA,US,STAR FINANCIAL GROUP INC COM STK CLASS A,55,USD
BBG000Q7CTL5,US97068P1093,"97068P109",BH13VB4,WHCA,US,WILLISTON HOLDING COMPANY INC COM,0.0001,USD
BBG001M8FVR1,US00287T3086,"00287T308",BQT52F6,ABBY,US,ABBY INC COM,0,USD
BBG000F24WC0,CA9021661074,"902166107",B3BK3M2,TYHJF,US,TYHEE GOLD CORPORATION COM NPV,0,CAD
BBG000BTQP63,US9506782013,"950678201",B01NV60,WNWG,US,WENTWORTH ENERGY INC COM,0,USD
BBG000HLQM52,US3745033080,"374503308",B063HX4,GGLT,US,GIANT GROUP COM,200,USD
BBG000DLQ562,US4044591091,"404459109","2400697",HABC,US,HABERSHAM BANCORP INC COM,0.00001,USD
BBG000DJN515,US38724Q4047,"38724Q404","2546278",GCFB,US,GRANITE CITY FOOD & BREWERY LTD COM,0.0001,USD
BBG000G6M1V7,CA14756F1036,"14756F103",B05N638,CSFSF,US,THE CASH STORE FINANCIAL SVCS INC COM NPV,0,CAD
BBG000PMMTW0,US75087U1016,"75087U101",B00FGC8,RPFG,US,RAINIER PACIFIC FIN GROUP COM NPV,0,USD
